Sl.no.,English,Kuruk͟h,IPA
256,turtle,ekkā,
257,cat,"berk͟hā,phusī",
258,cow,"adḍō, gāy",
259,buffalo,mank͟hā,
260,horn,marg,
261,tail,k͟holā ,
262,goat,ēṛā,
263,pig,"kissī, kiss",
264,rat,osgā,
265,chicken(adult female),k͟her,
266,duck,geṛē,
267,insect,pocgō,
268,cockroach,umbālō,
269,bee,tīnī,
270,spider,"makrā, tandal",
271,ant, pōk,
272,mosquito,bhusndcī,
273,face,mũhī,
274,cheek,gallē,
275,chin,"lauṭō, laṛō",
276,elbow,baṛimūkā,
277,palm,kīndā,
278,finger,anglī,
279,sweat,ercernā,
280,body,mēd,
281,person,"jhan, jhanas",
282,son,"-das, engdas, ningdas",
283,daughter,"dā, engdā, ningdā",
284,elder brother,dadā,
285,elder sister,daī,
286,younger brother,ingṛis,
287,younger sister,ingṛī,
289,friend,"sangis, iyarās",
290,village,paddā,
291,house,eṛpā,
292,door,balī,
293,window,"k͟hiṛki, bhawãrī",
294,roof,mesgā,
295,wall of house,"pacrī, bhīt",
296,pillow,balis,
297,blanket,kamṛā,
298,ring (of finger),muddī,
299,clothing,Atta̕ānā,
300,cloth,kicrī,
301,medicine,"dawa, mandar",
301,paper,kāgad/kāgaj,
302,needle,suī,
303,thread,mẽr,
304,broom,"calkī, jhaṭṭā",
305,spoon (for eating),cāmuc,
306,knife,kantō,
307,hammer,"kuṭāsī, martol",
308,axe,tong̕ē,
309,bow,"eṛeth, guṛthā",
310,arrow,"cār, ciyari",
311,spear,"balam, barchā",
312,candle,"Momm,",
313,boat,"ḍongā,ḍungrī,naukā",
314,path,ḍahrē,
315,to go,kānā,
316,to stand,ijnā,
317,to sit,okknā,
318,to lie down,beḍrnā,
319,to speak,kacnak͟hrnā,
320,to enter,kornā,
321,to kick,lathnā,
322,to tell,"tengna, ba̕anā",
323,to wait,"jōhnā, tāk ērnā",
324,to cry,cĩk͟hnā,
325,to cook,bita̕ānā,
326,to boil(water),kuṛnā,
327,to eat,mōk͟hnā,
328,to forget,mōdhrnā,
329,to dream,"sapnārnā, tungul",
330,to do,nannā,
331,to work,ēknā,
332,to dance,"nalnā, bēcan̄",
333,to take bath,emnā,
334,to cut something,k͟handnā,
335,to burm,"ōlnā, ullkā",
336,to buy,k͟hēndnā,
337,to sell,bīsnā,
338,to steal,k͟haṛnā,
339,to take,"ondā, ho̕onā",
340,to give,ci̕ inā,
341,to love,"conhā, lolā",
342,to hate,k͟hãrnā,
343,six,"soyyē, chau",
344,seven,sattē,
345,eight,"aṭṭhē, ak͟hē",
346,nine,nau,
347,ten,dassē,
348,eleven,"gāhrāh, egārhai",
349,twelve,bāroy,
350,twenty,"kurī, biesoy",
351,hundred,saī,
352,thousand,hajar,
353,light (not heavy),"nebbā, sebbā",
354,deep,"gaḍḍī, k͟honḍk͟hā",
355,shallow,chaparcher,
356,full (cup),nindkā,
357,empty (cup),nīdī,
358,hungry,kīṛā sārnā,
359,thirsty,amm onkā,
360,sweet,miṭhai,
361,sour,tissā,
362,bitter,"k͟haṛk͟hā, titkur",
363,"spicy, hot","kuṛnā, kuṭṭkā",
364,ripe,panjkā,
365,rotten (fruit),"kittnā, poccnā",
366,fast,"saṭhlē, saṭh",
367,slow,gabar,
368,same,onṭam,
369,different,chinḍā,
370,broken,esrkā,
371,above,mãyyã,
372,below                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,kiyyā,
373,these things,ibṛā,
373,those things,abṛā,
374,she,"ād, ādim",
375,how many,ēbaggē,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
